id,name,lat,lng,address,address2,city,state,zip,country,phone1,toll_free,hotline,fax,email_primary,email_secondary,web,contact,executive_director,board_leader,year_founded,hours1,hours2,hours3,hours4,hours5,hours6,hours7,Services_Programs,Anti_Violence,Arts_Culture,Civic_Engagement,Community_Outreach_Education,hotlines,information_Education,legal,mental_health,older_adult,physical_health,youth,Social_media,facebook_url,twitter_url,donation_url,volunteer_url,instagram_url
1,LGBT Center of Raleigh,35.85159,-78.83916,19 W Hargett St,Unit 507,Raleigh,NC,27601,United States,919-832-4484,,,,info@lgbtcenterofraleigh.com,,https://www.lgbtcenterofraleigh.com/,Kelly Taylor,Lindsey Lughes,Justine Hollingshead,2009,Monday: 12:00 - 8:30 pm,Tuesday: 12:00 - 8:00 pm,Wednesday: 12:00 - 8:00 pm,Thursday: 12:00 - 8:30 pm,Friday: 12:00 - 8:00 pm,Saturday: 12:00 - 6:00 pm,Sunday: 12:00 - 6:00 pm,Yes,Literature/Materials/Resources,"Art Gallery/Display Space,
Book Clubs,
Choral or Instrumental Groups,
Community Meeting Space,
Film Festivals/Screenings or Discussions,
Largest LGBT focused library in North Carolina",Voter Registration,"General Public,
Law Enforcement,
Physical or Mental Health Providers",General Information,"Adult Education,
Business and Professional Networks,
Computer/Internet/Email Access,
Directory of Local Job Openings,
In-House Library,
Recreational Programs,
Referrals to Local LGBT-Friendly Businesses,
Speakers Bureaus,","Hate Crimes Reporting,
LGBT Friendly Legal Referrals,
Representing LGBT People Facing Discrimination,","Peer Led Services and Groups,
Referral Services,
Twelve Step Programs,","Discussion Groups,
Resource and Referral Information,
Social and Cultural Programs,","Discussion or Support Groups,
Health Promotion and Education,
Health Screenings/Healthcare,
LGBT Friendly Referrals,
STD/HIV Outreach and Education,
STD/HIV Prevention,
STD/HIV Testing,","Community Outreach/Education,
Drop-In Center,
Leadership Development & Life Skills,
Recreational & Social Activities,
Support,",Yes,https://www.facebook.com/lgbtcenterofraleigh,https://twitter.com/lgbtcenterral,https://connect.clickandpledge.com/w/Form/c70834a8-9d67-4e43-8334-df52bd93b813,https://connect.clickandpledge.com/w/Form/c70834a8-9d67-4e43-8334-df52bd93b813,
2,Magic City Acceptance Center,33.51800502,-86.7864404,3130 3rd Ave South,,Birmingham,AL,35233,United States,"205-761-2000, ext. 305 ",,,,Keller@mcac-bao.org,,http://magiccityacceptancecenter.org/,Amanda Keller,,,,Monday: 9:00 am - 6:00 pm,Tuesday: 9:00 am - 6:00 pm,Wednesday: 10:00 am - 6:00 pm,Thursday: 9:00 am - 6:00 pm,Friday: 9:00 am - 1:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
3,Bayard Rustin Community Center,32.38044749,-86.3000707,635 Madison Ave,,Montgomery,AL,36104,United States,334-356-2464,,,,montgomeryprideunited8@gmail.com,,http://www.montgomeryprideunited.org/,,,,,Monday: Closed,Tuesday: 10:00 am - 5:00 pm,Wednesday: 10:00 am - 5:00 pm,Thursday: 10:00 am - 5:00 pm,Friday: 10:00 am - 5:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
4,"Identity, Inc. - LGBTQ+ Community Center of Anchorage",61.19891928,-149.8982716,801 W Fireweed Ln,Suite 103,Anchorage,AK,99503,United States,907-929-4528,,,,info@identityinc.org,,https://identityalaska.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Identity Health Clinic,61.19573219,-149.8774272,307 E. Northern Lights Blvd,Suite 101,Anchorage,AK,99503,United States,907-865-3247,,,,frontdesk@identityinc.org,,https://identityalaska.org/programs/identityhealthclinic/,,,,,Monday: 10:00 am - 2:00 pm,Tuesday: 10:00 am - 2:00 pm,Wednesday: Closed,Thursday: 10:00 am - 2:00 pm,Friday: 10:00 am - 2:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
6,Alaska Center for Pediatrics,61.21154229,-149.8270757,2925 DeBarr Road,Suite 230,Anchorage,AK,99508,United States,907-777-1800,,,,info@akpeds.com,,https://www.akpeds.com,,,,,Monday: 8:00 am - 5:00 pm,Tuesday: 8:00 am - 5:00 pm,Wednesday: 8:00 am - 5:00 pm (closed 12:00 - 1:15 pm),Thursday: 8:00 am - 5:00 pm,Friday: 8:00 am - 5:00 pm,Saturday: 8:30 am - 12:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
7,one•n•ten Youth Center,33.46042485,-112.0735801,1101 N Central Avenue,202,Phoenix,AZ,85004,United States,602-279-0894,,,,info@onenten.org,,http://onenten.org/,,,,,Monday: 9:30 am - 5:00 pm,Tuesday: 9:30 am - 5:00 pm,Wednesday: 9:30 am - 5:00 pm,Thursday: 9:30 am - 5:00 pm,Friday: 9:30 am - 4:30 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
8,Thornhill Lopez Center on 4th,32.22867308,-110.9654923,526 N 4th Avenue,,Tuscon,AZ,85705,United States,520-628-7223,,,,tlc4@saaf.org,,https://www.saaf.org/hiv-prevention-and-testing/tlc4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Arthur D. Beeghly LGBTQ Resource Center,36.06467721,-94.1619591,179 N Church Ave,101,Fayetteville,AR,72701,United States,479-966-9014 ,,,,info@nwaequality.org,,,,,,,Monday: Closed,Tuesday: 2:00 - 7:00 pm,Wednesday: Closed,Thursday: 10:00 am - 3:00 pm,Friday: Closed,Saturday: 10:00 am - 3:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
10,Planned Parenthood - Little Rock Health Center,34.74083883,-92.38941444,1501 Aldersgate Rd,,Little Rock,AR,72205,United States,501-666-7526,,,,,,https://www.plannedparenthood.org/health-center/arkansas/little-rock/72205/little-rock-aldersgate-road-health-center-9998-90740,,,,,Monday: 11:00 am - 5:00 pm,Tuesday: 11:00 am - 7:00 pm,Wednesday: 9:00 am - 5:00 pm,Thursday: 10:00 am - 6:00 pm,Friday: 8:00 am - 4:00 pm,Saturday: 8:30 am - 1:30 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
