id,name,lat,lng,place_id,f_address,address,address2,city,state,zip,country,phone1,toll_free,hotline,fax,email_primary,email_secondary,web,contact,executive_director/th>,board_leader,year_founded,hours1,hours2,hours3,hours4,hours5,hours6,hours7,Services_Programs,Anti_Violence,Arts_Culture,Civic_Engagement,Community_Outreach_Education,hotlines,information_Education,legal,mental_health,older_adult,physical_health,youth,Social_media,facebook_url,twitter_url,donation_url,volunteer_url,instagram_url
0,LGBT Center of Raleigh,35.7781644,-78.6399763,ChIJB7LtAG5frIkRW63aYR_N0Zc,"19 W Hargett St UNIT 507, Raleigh, NC 27601, USA",19 W Hargett St,Unit 507,Raleigh,NC,27601,United States,919-832-4484,,,,info@lgbtcenterofraleigh.com,,https://www.lgbtcenterofraleigh.com/,Kelly Taylor,Lindsey Lughes,Justine Hollingshead,2009,Monday: 12:00 - 8:30 pm,Tuesday: 12:00 - 8:00 pm,Wednesday: 12:00 - 8:00 pm,Thursday: 12:00 - 8:30 pm,Friday: 12:00 - 8:00 pm,Saturday: 12:00 - 6:00 pm,Sunday: 12:00 - 6:00 pm,Yes,Literature/Materials/Resources,"Art Gallery/Display Space, Book Clubs, Choral or Instrumental Groups, Community Meeting Space, Film Festivals/Screenings or Discussions, Largest LGBT focused library in North Carolina",Voter Registration,"General Public, Law Enforcement, Physical or Mental Health Providers","Adult Education, Business and Professional Networks, Computer/Internet/Email Access, Directory of Local Job Openings, In-House Library, Recreational Programs, Referrals to Local LGBT-Friendly Businesses, Speakers Bureaus,","Hate Crimes Reporting, LGBT Friendly Legal Referrals, Representing LGBT People Facing Discrimination,","Peer Led Services and Groups, Referral Services, Twelve Step Programs,","Discussion Groups, Resource and Referral Information, Social and Cultural Programs,","Discussion or Support Groups, Health Promotion and Education, Health Screenings/Healthcare, LGBT Friendly Referrals, STD/HIV Outreach and Education, STD/HIV Prevention, STD/HIV Testing,","Community Outreach/Education, Drop-In Center, Leadership Development & Life Skills, Recreational & Social Activities, Support,",Yes,https://www.facebook.com/lgbtcenterofraleigh,https://twitter.com/lgbtcenterral,https://connect.clickandpledge.com/w/Form/c70834a8-9d67-4e43-8334-df52bd93b813,https://connect.clickandpledge.com/w/Form/c70834a8-9d67-4e43-8334-df52bd93b813,,
1,Magic City Acceptance Center,33.5179627,-86.7865039,ChIJZVxYL7IbiYgRacwTl3-FYR4,"3130 3rd Ave S, Birmingham, AL 35233, USA",3130 3rd Ave South,,Birmingham,AL,35233,United States,"205-761-2000, ext. 305",,,,Keller@mcac-bao.org,,http://magiccityacceptancecenter.org/,Amanda Keller,,,,Monday: 9:00 am - 6:00 pm,Tuesday: 9:00 am - 6:00 pm,Wednesday: 10:00 am - 6:00 pm,Thursday: 9:00 am - 6:00 pm,Friday: 9:00 am - 1:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
2,Bayard Rustin Community Center,32.380411,-86.3000631,ChIJsfgccXeBjogRf5lSAA2ZcmA,"635 Madison Ave, Montgomery, AL 36104, USA",635 Madison Ave,,Montgomery,AL,36104,United States,334-356-2464,,,,montgomeryprideunited8@gmail.com,,http://www.montgomeryprideunited.org/,,,,,Monday: Closed,Tuesday: 10:00 am - 5:00 pm,Wednesday: 10:00 am - 5:00 pm,Thursday: 10:00 am - 5:00 pm,Friday: 10:00 am - 5:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
3,"Identity, Inc. - LGBTQ+ Community Center of Anchorage",61.199002,-149.8983252,ChIJq6qOhtCXyFYRaJgigNAgrJM,"801 W Fireweed Ln Suite 103, Anchorage, AK 99503, USA",801 W Fireweed Ln,Suite 103,Anchorage,AK,99503,United States,907-929-4528,,,,info@identityinc.org,,https://identityalaska.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Identity Health Clinic,61.1955978,-149.8774272,ChIJVVUh8MiXyFYRbqS1QSmk3ck,"307 E Northern Lights Blvd Suite 101, Anchorage, AK 99503, USA",307 E. Northern Lights Blvd,Suite 101,Anchorage,AK,99503,United States,907-865-3247,,,,frontdesk@identityinc.org,,https://identityalaska.org/programs/identityhealthclinic/,,,,,Monday: 10:00 am - 2:00 pm,Tuesday: 10:00 am - 2:00 pm,Wednesday: Closed,Thursday: 10:00 am - 2:00 pm,Friday: 10:00 am - 2:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
5,Alaska Center for Pediatrics,61.2112563,-149.8270681,ChIJKyQR9ESWyFYRyiEJlw6uJSs,"2925 Debarr Road STE 230, Anchorage, AK 99508, USA",2925 DeBarr Road,Suite 230,Anchorage,AK,99508,United States,907-777-1800,,,,info@akpeds.com,,https://www.akpeds.com,,,,,Monday: 8:00 am - 5:00 pm,Tuesday: 8:00 am - 5:00 pm,Wednesday: 8:00 am - 5:00 pm (closed 12:00 - 1:15 pm),Thursday: 8:00 am - 5:00 pm,Friday: 8:00 am - 5:00 pm,Saturday: 8:30 am - 12:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
6,one•n•ten Youth Center,33.4604848,-112.0734396,ChIJlx_uAw0SK4cRPzD73O_X5BY,"1101 N Central Ave #204, Phoenix, AZ 85004, USA",1101 N Central Avenue,202,Phoenix,AZ,85004,United States,602-279-0894,,,,info@onenten.org,,http://onenten.org/,,,,,Monday: 9:30 am - 5:00 pm,Tuesday: 9:30 am - 5:00 pm,Wednesday: 9:30 am - 5:00 pm,Thursday: 9:30 am - 5:00 pm,Friday: 9:30 am - 4:30 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
7,Thornhill Lopez Center on 4th,32.2284284,-110.9652632,ChIJY6ZQiRxx1oYR-6DTGlpXl2U,"526 N 4th Ave, Tucson, AZ 85705, USA",526 N 4th Avenue,,Tuscon,AZ,85705,United States,520-628-7223,,,,tlc4@saaf.org,,https://www.saaf.org/hiv-prevention-and-testing/tlc4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arthur D. Beeghly LGBTQ Resource Center,36.0645003,-94.1619543,ChIJtQL_29luyYcR0mkrL1E_Veg,"179 N Church Ave, Fayetteville, AR 72701, USA",179 N Church Ave,101,Fayetteville,AR,72701,United States,479-966-9014,,,,info@nwaequality.org,,,,,,,Monday: Closed,Tuesday: 2:00 - 7:00 pm,Wednesday: Closed,Thursday: 10:00 am - 3:00 pm,Friday: Closed,Saturday: 10:00 am - 3:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
9,Planned Parenthood - Little Rock Health Center,34.7399996,-92.3895053,ChIJF8PYiK-m0ocR_FNTlVgWtn4,"1501 Aldersgate Rd, Little Rock, AR 72205, USA",1501 Aldersgate Rd,,Little Rock,AR,72205,United States,501-666-7526,,,,,,https://www.plannedparenthood.org/health-center/arkansas/little-rock/72205/little-rock-aldersgate-road-health-center-9998-90740,,,,,Monday: 11:00 am - 5:00 pm,Tuesday: 11:00 am - 7:00 pm,Wednesday: 9:00 am - 5:00 pm,Thursday: 10:00 am - 6:00 pm,Friday: 8:00 am - 4:00 pm,Saturday: 8:30 am - 1:30 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
